,LoanBriefID,LoanAmount,LoanTime,IsReMarketing,ProvinceId,Gender,Age,JobId,ImcomeType,IsMerried,NumberBaby,RelationshipType,LivingWith,RateTypeId,ProductId,ResidentType,LoanAmountExpertiseAI,NumberCall,score,label_result
0,1095199,30000000,12,0,1,0.0,31,123.0,1.0,1.0,1.0,1.0,1.0,10,5,6,48800000.0,0.0,1.0,True
1,950035,12000000,6,1,1,0.0,30,123.0,5.0,1.0,2.0,1.0,3.0,10,2,4,13600000.0,1.0,0.6,False
2,975972,10000000,9,1,1,0.0,29,123.0,1.0,1.0,1.0,1.0,2.0,10,5,4,24000000.0,1.0,0.9,True
3,943144,5000000,9,1,79,0.0,25,123.0,5.0,0.0,0.0,2.0,1.0,10,2,4,0.0,8.0,0.9,True
4,1015972,16000000,9,0,1,0.0,28,123.0,1.0,0.0,1.0,15.0,0.0,10,2,7,24100000.0,0.0,0.4,False
5,1008004,20000000,12,0,79,0.0,26,26.0,1.0,0.0,0.0,1.0,1.0,10,2,7,34460000.0,0.0,1.0,True
6,1032828,4000000,12,0,1,0.0,30,123.0,5.0,0.0,0.0,5.0,1.0,10,5,6,7700000.0,0.0,0.9,True
7,1201236,9000000,12,0,1,0.0,30,123.0,5.0,0.0,0.0,5.0,2.0,10,5,4,12700000.0,0.0,0.9,True
8,1215246,6000000,12,0,1,0.0,31,123.0,1.0,0.0,0.0,15.0,1.0,10,5,7,9000000.0,0.0,0.9,True
9,1078795,10000000,12,0,1,0.0,27,123.0,1.0,0.0,0.0,4.0,2.0,10,5,4,14400000.0,0.0,0.8,True
10,1133017,8000000,12,0,1,1.0,23,124.0,1.0,0.0,0.0,15.0,2.0,10,5,4,11400000.0,0.0,0.9,True
11,1001562,5000000,9,0,79,0.0,55,71.0,5.0,1.0,1.0,15.0,2.0,10,2,4,26640000.0,0.0,1.0,True
12,1125738,6000000,12,0,1,0.0,26,126.0,5.0,0.0,0.0,2.0,2.0,10,5,4,8300000.0,0.0,0.9,True
13,933010,6000000,9,1,1,0.0,31,123.0,1.0,0.0,0.0,6.0,1.0,10,5,7,9000000.0,2.0,0.7,True
14,1069439,10000000,12,0,1,0.0,28,123.0,5.0,0.0,0.0,4.0,2.0,10,5,4,57600000.0,0.0,0.9,True
15,1553325,4000000,6,0,79,1.0,21,126.0,1.0,0.0,0.0,5.0,1.0,13,2,15,13400000.0,0.0,1.0,True
16,926179,12000000,12,1,79,0.0,38,123.0,1.0,0.0,0.0,5.0,1.0,10,5,7,0.0,2.0,0.9,True
17,1257858,10000000,12,0,79,0.0,38,123.0,1.0,0.0,0.0,15.0,1.0,13,5,7,17300000.0,0.0,0.9,True
18,972142,7000000,9,1,1,0.0,35,123.0,5.0,1.0,3.0,1.0,4.0,10,5,6,0.0,2.0,0.9,True
19,932258,15000000,12,1,79,1.0,26,123.0,1.0,1.0,1.0,6.0,2.0,10,2,4,0.0,4.0,0.3,False
20,1058774,15000000,12,0,79,0.0,32,106.0,5.0,1.0,0.0,4.0,0.0,10,2,7,0.0,0.0,0.9,True
21,1520428,10000000,12,0,79,0.0,33,126.0,1.0,0.0,0.0,10.0,1.0,13,2,14,41500000.0,0.0,0.9,True
22,1139170,15000000,12,0,1,1.0,23,121.0,1.0,0.0,0.0,15.0,2.0,10,2,4,25200000.0,0.0,0.3,False
23,1016236,15000000,9,0,79,0.0,24,123.0,1.0,1.0,0.0,15.0,0.0,10,2,7,22900000.0,0.0,0.9,True
24,1228614,9000000,12,0,79,0.0,51,123.0,1.0,1.0,2.0,4.0,2.0,10,5,4,13500000.0,0.0,0.9,True
25,1048489,9000000,12,0,1,0.0,25,124.0,1.0,0.0,0.0,4.0,1.0,10,2,7,12500000.0,0.0,0.3,False
26,1350175,6000000,12,0,1,0.0,37,123.0,1.0,0.0,2.0,1.0,1.0,13,5,9,8200000.0,0.0,0.9,True
27,985502,5000000,12,1,79,0.0,35,48.0,1.0,1.0,2.0,6.0,3.0,10,5,4,12100000.0,2.0,0.8,True
28,1044152,10000000,12,0,79,1.0,29,63.0,5.0,0.0,0.0,6.0,2.0,10,2,4,27900000.0,0.0,0.8,True
29,951542,10000000,12,1,79,1.0,36,50.0,5.0,1.0,0.0,6.0,1.0,10,5,4,20400000.0,2.0,1.0,True
30,1366066,15000000,12,0,1,0.0,34,126.0,1.0,1.0,2.0,15.0,1.0,13,5,9,23300000.0,0.0,0.9,True
31,1100101,15000000,12,0,79,0.0,22,106.0,5.0,0.0,0.0,6.0,0.0,10,5,4,27900000.0,0.0,1.0,True
32,1614964,15000000,12,0,79,0.0,27,123.0,1.0,0.0,0.0,4.0,1.0,13,2,14,23500000.0,0.0,0.3,False
33,1264260,15000000,12,0,79,0.0,27,123.0,1.0,0.0,0.0,6.0,1.0,13,2,2,23500000.0,0.0,0.9,True
34,1043169,6000000,12,0,79,0.0,43,121.0,1.0,1.0,1.0,4.0,2.0,10,2,4,8300000.0,0.0,0.4,False
35,1325216,14000000,12,0,1,0.0,46,126.0,1.0,0.0,0.0,1.0,0.0,13,5,9,19500000.0,0.0,0.9,True
36,981941,9000000,9,1,79,0.0,41,112.0,5.0,1.0,1.0,4.0,2.0,10,5,4,14700000.0,5.0,0.6,False
37,1051506,25000000,12,0,79,1.0,39,50.0,1.0,1.0,0.0,4.0,1.0,10,2,6,35800000.0,0.0,0.4,False
38,923016,8000000,12,1,79,1.0,22,123.0,1.0,1.0,0.0,2.0,1.0,10,5,4,21400000.0,3.0,0.9,True
39,926871,12000000,12,1,1,1.0,32,104.0,5.0,1.0,3.0,1.0,4.0,10,5,6,18600000.0,3.0,0.4,False
40,1054730,20000000,12,0,79,0.0,31,112.0,5.0,1.0,0.0,15.0,0.0,10,2,7,70700000.0,0.0,0.9,True
41,1030537,5000000,12,0,1,0.0,36,123.0,5.0,1.0,2.0,2.0,1.0,10,5,4,12700000.0,0.0,1.0,True
42,935860,10000000,9,1,1,1.0,34,123.0,1.0,1.0,3.0,3.0,4.0,10,2,4,0.0,2.0,0.9,True
43,1069388,10000000,12,0,79,0.0,33,123.0,5.0,0.0,0.0,4.0,2.0,10,5,4,0.0,0.0,0.9,True
44,951373,8000000,6,1,1,0.0,31,123.0,1.0,1.0,3.0,1.0,4.0,10,2,7,0.0,1.0,0.7,True
45,1470531,15000000,12,0,79,1.0,39,126.0,1.0,1.0,0.0,2.0,0.0,13,5,13,21200000.0,0.0,0.9,True
46,1509485,7000000,12,0,79,0.0,49,123.0,5.0,1.0,2.0,4.0,1.0,13,2,14,11200000.0,0.0,0.9,True
47,976698,28000000,12,1,1,0.0,36,100.0,1.0,1.0,4.0,1.0,5.0,10,5,0,33200000.0,0.0,0.8,True
48,963303,28000000,9,1,1,0.0,36,100.0,1.0,1.0,4.0,1.0,5.0,10,5,0,0.0,4.0,0.9,True
49,966023,15000000,12,1,79,0.0,53,123.0,1.0,1.0,0.0,6.0,1.0,10,2,4,0.0,2.0,0.9,True
50,951445,21000000,9,1,1,1.0,26,112.0,5.0,1.0,2.0,1.0,3.0,10,2,6,22300000.0,1.0,0.0,False
51,998958,5000000,9,1,1,0.0,25,62.0,5.0,1.0,1.0,2.0,2.0,10,5,4,10100000.0,1.0,0.9,True
52,1068081,15000000,12,0,1,1.0,25,123.0,1.0,0.0,0.0,6.0,1.0,10,2,4,21200000.0,0.0,0.9,True
53,1193669,15000000,12,0,1,0.0,23,123.0,1.0,0.0,0.0,2.0,2.0,10,2,4,27900000.0,0.0,0.9,True
54,982294,12000000,9,1,1,1.0,43,121.0,1.0,1.0,3.0,5.0,4.0,10,2,1,11400000.0,1.0,0.4,False
55,940141,13000000,12,1,79,1.0,28,43.0,5.0,1.0,1.0,5.0,2.0,10,2,4,19800000.0,2.0,1.0,True
56,1215178,15000000,12,0,79,0.0,30,121.0,1.0,0.0,0.0,3.0,2.0,10,2,4,23800000.0,0.0,0.9,True
57,1613149,4000000,6,0,1,0.0,30,124.0,1.0,0.0,0.0,4.0,2.0,13,2,15,8300000.0,0.0,0.8,True
58,1538639,4000000,6,0,79,1.0,45,124.0,1.0,0.0,0.0,4.0,0.0,13,2,14,8800000.0,0.0,0.3,False
59,996424,6000000,9,1,79,0.0,28,118.0,5.0,1.0,1.0,6.0,2.0,10,5,4,15700000.0,2.0,0.3,False
60,1163662,10000000,12,0,79,0.0,28,123.0,5.0,0.0,0.0,4.0,0.0,10,2,6,16200000.0,0.0,0.7,True
61,1171192,15000000,12,0,79,1.0,30,100.0,1.0,0.0,0.0,4.0,2.0,10,2,4,25700000.0,0.0,0.7,True
62,1236379,15000000,12,0,79,1.0,39,124.0,1.0,1.0,1.0,15.0,1.0,10,2,4,23500000.0,0.0,0.9,True
63,1107207,8000000,12,0,1,0.0,30,111.0,5.0,1.0,2.0,1.0,1.0,10,5,4,0.0,0.0,1.0,True
64,929165,10000000,12,1,79,0.0,36,48.0,5.0,1.0,1.0,5.0,2.0,10,5,4,17100000.0,4.0,0.6,False
65,1457856,10000000,12,0,1,1.0,33,126.0,1.0,0.0,0.0,2.0,2.0,13,5,11,27000000.0,0.0,0.9,True
66,1082952,10000000,12,0,79,0.0,25,106.0,1.0,0.0,0.0,4.0,2.0,10,5,4,37800000.0,0.0,0.9,True
67,973609,10000000,12,1,79,0.0,34,118.0,5.0,1.0,3.0,1.0,4.0,10,5,4,54900000.0,3.0,1.0,True
68,919814,10000000,12,1,1,0.0,30,106.0,5.0,1.0,3.0,1.0,4.0,10,5,4,13600000.0,5.0,0.8,True
69,992736,9000000,9,1,1,0.0,24,123.0,5.0,1.0,1.0,2.0,2.0,10,5,4,0.0,1.0,0.9,True
70,1004731,9000000,9,0,1,0.0,26,125.0,1.0,0.0,0.0,15.0,1.0,10,2,4,12490000.0,0.0,0.9,True
71,1614720,9000000,12,0,1,0.0,26,125.0,1.0,0.0,0.0,2.0,2.0,13,2,15,12400000.0,0.0,0.9,True
72,1218627,9000000,12,0,1,0.0,26,125.0,1.0,0.0,0.0,15.0,2.0,10,2,4,12400000.0,0.0,0.9,True
73,1486184,12000000,12,0,30,0.0,37,123.0,1.0,1.0,2.0,15.0,0.0,13,2,9,17300000.0,0.0,0.9,True
74,914192,3000000,6,1,1,0.0,26,121.0,1.0,1.0,1.0,4.0,2.0,10,5,4,9800000.0,1.0,0.6,False
75,928504,10000000,6,1,1,0.0,38,123.0,5.0,1.0,3.0,1.0,4.0,10,5,4,11200000.0,2.0,0.6,False
76,1149293,6000000,12,0,1,0.0,25,59.0,5.0,0.0,0.0,2.0,2.0,10,5,4,8300000.0,0.0,0.9,True
77,990280,15000000,9,1,79,1.0,28,112.0,5.0,1.0,1.0,3.0,2.0,10,2,4,34200000.0,4.0,0.9,True
78,932086,8000000,12,1,1,1.0,27,123.0,1.0,1.0,0.0,1.0,1.0,10,2,4,0.0,4.0,0.9,True
79,1052503,10000000,12,0,1,0.0,34,123.0,1.0,1.0,1.0,4.0,1.0,10,5,4,19900000.0,0.0,1.0,True
80,1104428,15000000,12,0,79,0.0,24,116.0,5.0,1.0,0.0,15.0,1.0,10,5,4,25500000.0,0.0,0.9,True
81,944289,9000000,9,1,1,0.0,41,121.0,1.0,1.0,3.0,1.0,4.0,10,5,4,17100000.0,4.0,0.72,True
82,1098166,15000000,12,0,27,0.0,27,123.0,5.0,0.0,0.0,1.0,0.0,10,5,6,24100000.0,0.0,0.9,True
83,1624983,20000000,12,0,1,1.0,26,124.0,1.0,1.0,1.0,1.0,1.0,13,5,14,66500000.0,0.0,0.9,True
84,1113846,10000000,12,0,1,0.0,23,98.0,1.0,0.0,0.0,15.0,2.0,10,2,4,16200000.0,0.0,0.9,True
85,1205550,3000000,12,0,1,0.0,28,123.0,1.0,0.0,0.0,6.0,2.0,10,5,4,7600000.0,0.0,0.9,True
